freq_hz,transmissibility,phase_deg
0.29999999999999993,1.0077635893536747,0.0
0.3416771406063647,1.0100605706610608,5.684341886080802e-14
0.3891442280431384,1.0130436648152836,0.2803738317757052
0.4432056237375022,1.01689414675984,0.0
0.5047774340643005,1.021890152124693,0.0
0.5749030343790267,1.0283444674750597,0.0
0.6547707497084948,1.0366869486000727,0.0
0.7457339917102808,1.0474315430491834,1.0754294249441614
0.8493341931351308,1.061321053453851,1.5306122448979433
0.9673269284320848,1.0791984685870764,1.0465116279069662
1.1017116631273745,1.1021238694825939,1.5894039735099454
1.2547656361001465,1.1315442987115305,2.264150943396203
1.4290824489127478,1.1692598167725257,2.5787965616045825
1.627616016117497,1.217349135828282,4.6982055464924315
1.853730621307164,1.2784609548043881,6.691449814126413
2.111257927142306,1.3560776533912517,9.915254237288082
2.404561905428346,1.4536737676712943,13.913043478260931
2.7386127875258306,1.5746215322822739,15.824175824175938
3.1190712882328397,1.719518103858087,28.213166144200784
3.5523845303693578,1.8740077085055986,40.936454849498375
4.045895295569618,1.9970315018041227,54.180602006688986
4.607966452609902,1.9938269292289725,72.24080267558537
5.248122671792684,1.7958655699737065,95.11705685618728
5.977211826831866,1.461089512728524,114.38127090301016
6.8075888193015235,1.121973465127604,126.42140468227423
7.753324940676012,0.8444869360339915,143.27759197324428
8.830446319740641,0.6332887725253267,150.50167224080272
10.057205496023261,0.471231842459699,156.52173913043487
11.454390721239482,0.354551114051371,167.3578595317728
13.045678230070608,0.2733428175443513,173.3779264214048
14.858033449737425,0.20667706329609237,179.39799331103694
16.922167947133342,0.17240544658211981,-173.3779264214046
19.273059856790663,0.1532410364520822,-167.35785953177268
21.950546608678493,0.12180162992344487,-161.33779264214047
25.000000000000007,0.08153292333191194,-149.29765886287635
