time_s,road_mm,z_sprung_mm,z_unsprung_mm,vel_sprung_mm_s,vel_unsprung_mm_s,susp_travel_mm,accel_sprung_g,wheel_rate_N_mm,motion_ratio
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.04238741473569,0.9564056453001228
0.00501002004008016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.04238741473569,0.9564056453001228
0.01002004008016032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.04238741473569,0.9564056453001228
0.01503006012024048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.04238741473569,0.9564056453001228
0.02004008016032064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.04238741473569,0.9564056453001228
0.0250501002004008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.04238741473569,0.9564056453001228
0.03006012024048096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.04238741473569,0.9564056453001228
0.03507014028056112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.04238741473569,0.9564056453001228
0.04008016032064128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.04238741473569,0.9564056453001228
0.04509018036072144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.04238741473569,0.9564056453001228
0.0501002004008016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.04238741473569,0.9564056453001228
0.05511022044088176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.04238741473569,0.9564056453001228
0.06012024048096192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.04238741473569,0.9564056453001228
0.06513026052104208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.04238741473569,0.9564056453001228
0.07014028056112225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.04238741473569,0.9564056453001228
0.0751503006012024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.04238741473569,0.9564056453001228
0.08016032064128256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.04238741473569,0.9564056453001228
0.08517034068136273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.04238741473569,0.9564056453001228
0.09018036072144288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.04238741473569,0.9564056453001228
0.09519038076152304,0.0,0.0,0.0,0.0,0.0,0.0,0.0016280318080822299,36.04238741473569,0.9564056453001228
0.1002004008016032,25.0,1.0723911320431037e-05,0.004522523120154002,0.15997533197123798,44.848789990996394,0.004511799208833571,0.7888655701362336,30.00677172369848,0.8726598455541819
0.10521042084168336,25.0,0.1468292179800676,2.2542721867925772,77.51631806990494,733.1734196219091,2.1074429688125096,2.220119396137906,30.495538993822677,0.8797383259893934
0.11022044088176353,25.0,0.878527677727177,6.53259442095605,218.31562539345236,921.8457359930634,5.654066743228873,2.869972337113261,31.463657263973904,0.893593409290645
0.11523046092184368,25.0,2.3330785876912583,11.149370630644853,359.5284846004836,901.0395743891291,8.816292042953595,2.6212101165190926,32.559160294458735,0.9090168918274628
0.12024048096192384,25.0,4.438543874230061,15.44601272126119,475.8836633610068,808.7818911932824,11.00746884703113,2.043514280719865,33.61771107425391,0.9236755031670896
0.125250501002004,25.0,7.047756622088196,19.232902269698855,560.3303816047068,703.0315668782538,12.185145647610659,1.402898522076885,34.57304549276851,0.9367078816407854
0.13026052104208416,25.0,10.001106083018804,22.50075465837047,613.736717384306,602.9957119017,12.499648575351667,0.8077526047759253,35.40597032138954,0.9479241900413058
