travel_mm,camber_deg,caster_deg,kpi_deg,toe_deg,scrub_mm,trail_mm,track_change_mm,camber_gain
-40.0,0.6706896735131372,1.4414200606769794,5.365521865635501,0.06786703068036878,43.64378658816247,-10.35688693425368,-2.812795984602417,-0.009913510062779407
-39.0,0.6607761634503578,1.4414200606769794,5.375414131325148,0.06870691520408968,43.536976653451234,-10.382049768969523,-2.6355645384146555,-0.010016018999919662
-38.0,0.6506576355132979,1.4414200606769794,5.385511948729758,0.06952533312529943,43.429546479684745,-10.407212603685366,-2.463847573936391,-0.010221037431566826
-37.0,0.6403340885872242,1.4414200606769794,5.3958153187879665,0.0703222864882474,43.3214851620603,-10.432375438401095,-2.2976412061784686,-0.0104260654552496
-36.0,0.6298055046027987,1.4414200606769794,5.406324259481584,0.07109777382104687,43.212781770437346,-10.457538273116938,-2.1369416783022643,-0.010631120008110118
-35.0,0.619071848571004,1.4414200606769794,5.41703880580042,0.07185179014152925,43.103425347832285,-10.482701107832781,-1.9817453611876772,-0.010836217993613007
-34.0,0.6081330686155727,1.4414200606769794,5.427959009709836,0.07258432695928455,42.99340490891075,-10.50786394254851,-1.8320487530220362,-0.01104137628518509
-33.0,0.5969890960006338,1.4414200606769794,5.439084940122906,0.0732953722771716,42.88270943847647,-10.533026777264354,-1.6878484789015147,-0.01124661173051339
-32.0,0.5856398451545459,1.4414200606769794,5.450416682876513,0.07398491059251289,42.77132788995584,-10.558189611980197,-1.5491412904470963,-0.01145194115528031
-31.0,0.5740852136900731,1.4414200606769794,5.46195434071123,0.07465292289543175,42.659249183878956,-10.583352446695926,-1.4159240654371388,-0.011657381367082054
-30.0,0.5623250824203818,1.4414200606769794,5.473698033255192,0.07529938666793762,42.546462206354704,-10.60851528141177,-1.288193807452899,-0.01186294915935665
-29.0,0.5503593153713598,1.4414200606769794,5.485647897012038,0.07592427588046961,42.43295580754159,-10.633678116127612,-1.1659476455392905,-0.012068661315138618
-28.0,0.5381877597901046,1.4414200606769794,5.497804085352217,0.07652756098675043,42.31871880011124,-10.658840950843341,-1.049182833882469,-0.012274534611008248
-27.0,0.5258102461493434,1.4414200606769794,5.510166768508766,0.07710920891974496,42.203739957707285,-10.684003785559185,-0.9378967514971919,-0.012480585820956513
-26.0,0.5132265881481916,1.4414200606769794,5.522736133576909,0.07766918308397308,42.08800801339555,-10.709166620275028,-0.8320869019332804,-0.012686831720111647
-25.0,0.5004365827091201,1.4414200606769794,5.535512384516803,0.07820744334795131,41.97151165810851,-10.734329454990757,-0.7317509129939026,-0.012893289088683008
-24.0,0.48744000997082554,1.4414200606769794,5.548495742161066,0.07872394603525668,41.85423953907991,-10.7594922897066,-0.6368865364681824,-0.013099974715758828
-23.0,0.4742366332776024,1.4414200606769794,5.561686444225951,0.07921864391395654,41.736180258273066,-10.784655124422443,-0.5474916478788145,-0.013306905403024899
-22.0,0.46082619916477574,1.4414200606769794,5.575084745325338,0.07969148618516401,41.61732237079866,-10.809817959138172,-0.46356424624445935,-0.013514097968757993
-21.0,0.4472084373400864,1.4414200606769794,5.588690916990497,0.08014241847093934,41.49765438332315,-10.834980793854015,-0.3851024538525962,-0.0137215692515113
-20.0,0.43338306066175314,1.4414200606769794,5.6025052476918695,0.08057138279951666,41.377164752468275,-10.860143628569858,-0.31210451605193157,-0.013929336113928409
-19.0,0.4193497651122296,1.4414200606769794,5.6165280428656255,0.08097831759069084,41.25584188319897,-10.885306463285588,-0.24456880105412893,-0.014137415446694834
-18.0,0.40510822976836347,1.4414200606769794,5.63075962494405,0.08136315763959476,41.13367412720049,-10.91046929800143,-0.18249379975122793,-0.014345824172268484
-17.0,0.39065811676769263,1.4414200606769794,5.645200333389614,0.08172583409894635,41.01064978124373,-10.935632132717274,-0.125878125546933,-0.014554579248689165
-16.0,0.37599907127098514,1.4414200606769794,5.659850524732578,0.0820662744598566,40.88675708553933,-10.960794967433003,-0.0747205142022267,-0.014763697673553483
-15.0,0.36113072142058567,1.4414200606769794,5.674710572613635,0.08238440253274332,40.76198422207733,-10.985957802148846,-0.02901982369257894,-0.0149731964877175
-14.0,0.34605267829555014,1.4414200606769794,5.689780867828726,0.08268013842496383,40.636319312955834,-11.011120636864689,0.011224965917790541,-0.01518309277929264
-13.0,0.3307645358620004,1.4414200606769794,5.705061818379586,0.08295339851909936,40.509750418692875,-11.036283471580418,0.04601475259187282,-0.015393403687485985
-12.0,0.3152658709205782,1.4414200606769794,5.7205538495267465,0.08320409544825495,40.38226553652737,-11.061446306296261,0.07535031241854995,-0.015604146406373448
-11.0,0.2995562430492535,1.4414200606769794,5.736257403846943,0.08343213807171014,40.253852598702224,-11.086609141012104,0.09923229969922431,-0.015815338189067468
-10.0,0.28363519454244324,1.4414200606769794,5.7521729412954254,0.0836374314477062,40.1244994707331,-11.111771975727834,0.1176612470217151,-0.0160269963514989
-9.0,0.2675022503462557,1.4414200606769794,5.76830093927042,0.08381987680642365,39.99419394966094,-11.136934810443677,0.13063756531983017,-0.01623913827623505
-8.0,0.25115691798997314,1.4414200606769794,5.784641892683125,0.0839793715203278,39.86292376228812,-11.16209764515952,0.13816154391679447,-0.01645178141678401
-7.0,0.23459868751268767,1.4414200606769794,5.801196314031093,0.08411580907376852,39.73067656339583,-11.187260479875249,0.1402333505614024,-0.016664943301387625
-6.0,0.2178270313871979,1.4414200606769794,5.817964733475765,0.08422907903153633,39.59743993394545,-11.212423314591092,0.13685303144279715,-0.016878641537012254
-5.0,0.20084140443866316,1.4414200606769794,5.834947698924227,0.08431906700514977,39.463201379259544,-11.237586149306935,0.1280205111986561,-0.01709289381357766
-4.0,0.18364124376004257,1.4414200606769794,5.852145776114474,0.08438565461845983,39.3279483271848,-11.262748984022664,0.11373559290473167,-0.01730771790787751
-3.0,0.16622596862290814,1.4414200606769794,5.869559548705701,0.0844287194721086,39.19166812623473,-11.287911818738507,0.09399795805438771,-0.01752313168779289
-2.0,0.1485949803844568,1.4414200606769794,5.887189618372054,0.08444813510488192,39.054348043711116,-11.31307465345435,0.06880716652176488,-0.01773915311641895
-1.0,0.13074766239007024,1.4414200606769794,5.905036604901108,0.08444377095642201,38.915975263805876,-11.33823748817008,0.03816265651357753,-0.017955800256321486
0.0,0.11268337987181382,1.4414200606769794,5.9231011462961245,0.08441549232516998,38.77653688567864,-11.363400322885923,0.002063744506585863,-0.018173091273665537
1.0,0.09440147984273917,1.4414200606769794,5.941383898883002,0.08436316032803765,38.636019921514844,-11.388563157601652,-0.039490374829256325,-0.018391044442463193
2.0,0.07590129098688743,1.4414200606769794,5.95988553742124,0.08428663185593951,38.49441129455738,-11.413725992317495,-0.08650062872084163,-0.018609678148953528
3.0,0.05718212354483211,1.4414200606769794,5.978606755219041,0.08418575952881877,38.35169783711672,-11.438888827033338,-0.13896806639468195,-0.018829010896091306
4.0,0.03824326919470482,1.4414200606769794,5.997548264254212,0.08406039165031302,38.2078662885541,-11.464051661749068,-0.19689385919377855,-0.01904906130765305
5.0,0.01908400092952601,1.4414200606769794,6.016710795297345,0.08391037215812619,38.062903293242016,-11.48921449646491,-0.2602793007104083,-0.019269848132742167
6.0,-0.0002964270707795187,1.4414200606769794,6.03609509804107,0.08373554057521045,37.91679539849588,-11.514377331180754,-0.32912580692891424,-0.019491390250618097
7.0,-0.019898779571710185,1.4414200606769794,6.055701941233861,0.08353573195832555,37.76952905247924,-11.539540165896483,-0.4034349163839579,-0.019713706674859582
8.0,-0.03972384042049868,1.4414200606769794,6.0755321128175765,0.0833107768447076,37.621090602083086,-11.564703000612326,-0.48320829033400514,-0.01993681655799983
9.0,-0.059772412687709844,1.4414200606769794,6.095586420069975,0.08306050119724132,37.471466290774174,-11.589865835328169,-0.5684477129475454,-0.020160739196522805
10.0,-0.08004531881354429,1.4414200606769794,6.115865689752908,0.08278472634813727,37.32064225641477,-11.615028670043898,-0.6591550915004518,-0.020385494035248294
11.0,-0.10054340075820643,1.4414200606769794,6.136370768263969,0.08248326894090574,37.16860452905303,-11.640191504759741,-0.755332456592896,-0.02061110067211662
12.0,-0.12126752015777753,1.4414200606769794,6.157102521793351,0.08215594086944558,37.015339028681296,-11.665354339475584,-0.8569819623758121,-0.020837578863255345
13.0,-0.14221855848471712,1.4414200606769794,6.178061836486497,0.08180254921679926,36.8608315629624,-11.690517174191314,-0.9641058867930496,-0.02106494852772696
14.0,-0.16339741721323145,1.4414200606769794,6.199249618610582,0.08142289619106172,36.70506782492373,-11.715680008907157,-1.0767066318376237,-0.021293229752584894
15.0,-0.1848050179898869,1.4414200606769794,6.220666794726792,0.08101677905980559,36.54803339061698,-11.740842843623,-1.194786723821835,-0.021522442797865568
16.0,-0.20644230280896259,1.4414200606769794,6.242314311867391,0.08058399008199103,36.3897137167437,-11.766005678338729,-1.3183488136619417,-0.021752608101720902
17.0,-0.22831023419332871,1.4414200606769794,6.264193137718291,0.08012431643889155,36.230094138244795,-11.791168513054572,-1.4473956771771554,-0.021983746285534123
18.0,-0.25040979538003083,1.4414200606769794,6.286304260806108,0.07963754016125883,36.06915986585386,-11.816331347770415,-1.5819302154040997,-0.02221587815946162
19.0,-0.27274199051225195,1.4414200606769794,6.308648690692194,0.07912343805696066,35.90689598361166,-11.841494182486144,-1.7219554549219538,-0.02244902472761004
20.0,-0.2953078448352509,1.4414200606769794,6.331227458170441,0.07858178163379183,35.7432874463442,-11.866657017201987,-1.8674745481978334,-0.02268320719336636
21.0,-0.3181084048989847,1.4414200606769794,6.354041615471462,0.07801233702204745,35.57831907709874,-11.89181985191783,-2.018490773942176,-0.022918446965125988
22.0,-0.3411447387655029,1.4414200606769794,6.377092236472177,0.07741486489383964,35.41197556454131,-11.91698268663356,-2.1750075374823155,-0.02315476566189495
23.0,-0.3644179362227746,1.4414200606769794,6.400380416911575,0.0767891203803839,35.24424146031015,-11.942145521349403,-2.337028371146971,-0.023392185118935677
24.0,-0.38792910900337424,1.4414200606769794,6.423907274611556,0.07613485298761687,35.07510117632796,-11.967308356065246,-2.5045569346702905,-0.023630727393526285
25.0,-0.41167939100982714,1.4414200606769794,6.447673949703995,0.07545180650818342,34.90453898206977,-11.992471190780975,-2.677597015608171,-0.02387041477106913
26.0,-0.4356699385455125,1.4414200606769794,6.471681604864514,0.07473971893208169,34.73253900178429,-12.017634025496818,-2.856152529769588,-0.0241112697709506
27.0,-0.45990193055172834,1.4414200606769794,6.495931425550919,0.07399832235427711,34.55908521167055,-12.042796860212661,-3.040227521664974,-0.02435331515265568
28.0,-0.48437656885082386,1.4414200606769794,6.520424620249347,0.07322734288004078,34.3841614370059,-12.06795969492839,-3.2298261649689266,-0.02459657392209691
29.0,-0.5090950783959222,1.4414200606769794,6.545162420726039,0.07242650052758011,34.20775134922508,-12.093122529644234,-3.4249527629981458,-0.024841069337903837
30.0,-0.5340587075266315,1.4414200606769794,6.570146082285305,0.07159550912733033,34.0298384629491,-12.118285364360077,-3.6256117492064277,-0.0250868249178397
31.0,-0.5592687282316016,1.4414200606769794,6.595376884034819,0.070734076220424,33.85040613296326,-12.143448199075806,-3.831807687694436,-0.025333864445450716
32.0,-0.584726436417533,1.4414200606769794,6.620856129157277,0.06984190295184398,33.66943755114062,-12.168611033791649,-4.0435452737351625,-0.02558221197670657
33.0,-0.6104331521850147,1.4414200606769794,6.64658514518843,0.06891868396226172,33.486915743313375,-12.193773868507492,-4.260829334316895,-0.025831891847041544
34.0,-0.6363902201116161,1.4414200606769794,6.672565284303276,0.06796410727758884,33.30282356608575,-12.218936703223221,-4.483664828700057,-0.02608292867803974
35.0,-0.6625990095410942,1.4414200606769794,6.698797923607877,0.06697785419299247,33.117143703592774,-12.244099537939064,-4.712056848994052,-0.026335347384562058
36.0,-0.6890609148807402,1.4414200606769794,6.725284465439455,0.06595959915660386,32.92985866419758,-12.269262372654907,-4.946010620746847,-0.026589173182249515
37.0,-0.7157773559055932,1.4414200606769794,6.7520263376736205,0.06490900964813923,32.74095077712991,-12.294425207370637,-5.18553150355433,-0.02684443159466121
38.0,-0.7427497780700626,1.4414200606769794,6.779024994039195,0.06382574605500008,32.55040218906254,-12.31958804208648,-5.430624991683999,-0.027101148460892233
39.0,-0.7699796528273777,1.4414200606769794,6.806281914440341,0.06270946154561874,32.35819486062394,-12.344750876802323,-5.681296714718428,-0.027359349943279154
40.0,-0.7974684779566209,1.4414200606769794,6.833798605287022,0.06155980193774815,32.164310562845685,-12.369913711518052,-5.937552438213515,-0.027488825129243222
