travel_mm,motion_ratio,damper_disp_mm,bellcrank_rot_deg,pushrod_comp_mm,wheel_rate_N_mm
-40.0,0.8304516522026404,35.60942436555496,-38.87814495172029,0.0,27.174276847696092
-39.0,0.8329265214890427,34.77774270061997,-37.85948073627228,0.0,27.336484953644163
-38.0,0.8354594121484809,33.943556811304035,-36.84732364325361,0.0,27.502995693578956
-37.0,0.8380475747529488,33.10681006198078,-35.84122818229877,0.0,27.673662230655037
-36.0,0.840688453200471,32.26744848601652,-34.84077226654525,0.0,27.848349039803292
-35.0,0.8433796953019623,31.425420567437158,-33.845554959328254,0.0,28.026932699567993
-34.0,0.8461191265973014,30.580677050525026,-32.855194455635896,0.0,28.209300262644113
-33.0,0.8489047272462926,29.733170773995084,-31.86932626708046,0.0,28.39534781378726
-32.0,0.8517346115008024,28.88285652693591,-30.88760158377302,0.0,28.584979183625144
-31.0,0.8546070077771901,28.029690924212133,-29.909685790405742,0.0,28.778104686443385
-30.0,0.8575202227830232,27.173632308270783,-28.935257127106237,0.0,28.974638762582167
-29.0,0.8604726549386896,26.31464067566199,-27.964005477691178,0.0,29.17450092152084
-28.0,0.8634631044701564,25.45267731623514,-26.995630922402366,0.0,29.377636897179208
-27.0,0.8664895030649689,24.587705573711844,-26.029843626208113,0.0,29.583932333694765
-26.0,0.8695508923233035,23.719689648030197,-25.06636159240512,0.0,29.793347277269
-25.0,0.8726457748559824,22.848595416131673,-24.104910739357592,0.0,30.005804077880637
-24.0,0.8757727985264694,21.974390063262774,-23.14522369111472,0.0,30.221233922755943
-23.0,0.8789306258920817,21.097042118233162,-22.1870390624037,0.0,30.439567935298626
-22.0,0.8821179245358621,20.216521443589556,-21.23010072820077,0.0,30.660736487924165
-21.0,0.8853333576158775,19.33279923533746,-20.27415713319615,0.0,30.884668517294006
-20.0,0.8885755745369579,18.445848032037503,-19.318960635561353,0.0,31.111290835204173
-19.0,0.8918432016474185,17.555641733209484,-18.364266879933105,0.0,31.34052742808286
